Aach;54298;0651
Aach;78267;07774
Aachen;52062;0241
Aachen;52064;0241
Aachen;52066;0241
Aachen;52068;0241
Aachen;52070;0241
Aachen;52072;0241
Aachen;52074;0241
Aachen;52076;0241
Aachen;52078;0241
Aachen;52080;0241
Aalen;73430;07361
Aalen;73431;07361
Aalen;73432;07361
Aalen;73433;07361
Aalen;73434;07361
Aarbergen;65326;06120
Aasbüttel;25560;04892
Abbau Ader;29416;
Abbendorf;19322;038791
Abbenrode;38871;039452
Abberode;06543;034779
Abenberg;91183;09178
Abend;01623;035246
Abensberg;93326;09443
Abentheuer;55767;06782
Abraham;94036;
Absberg;91720;09175
Abstatt;74232;07062
Abtlöbnitz;06628;034466
Abtsbessingen;99713;036020
Abtsdorf;06888;03491
Abtsgmünd;73453;07366
Abtsteinach;69518;06207
Abtswind;97355;09383
Abtweiler;55568;06753
Achberg;88147;08380
Achen;83552;08075
Achern;77855;07841
Achim;28832;04202
Achim;38312;05334
Achslach;94250;09929
Achstetten;88480;07392
Acht;56729;02656
Achtelsbach;55767;06782
Achterspannerhof;56299;
Achterwehr;24239;04340
Achtrup;25917;04662
Ackendorf;39343;039202
Ackermannshof;16259;033451
Adamshoffnung;17213;039932
Addebüll;25842;04672
Adelberg;73099;07166
Adelebsen;37139;05506
Adelhausen;98646;03685
Adelheidsdorf;29352;05085
Adelmannsfelden;73486;07963
Adelschlag;85111;08421
Adelsdorf;01561;03522
Adelsdorf;91325;09195
Adelsheim;74740;06291
Adelshofen;82276;08146
Adelshofen;91587;09865
Adelsried;86477;08294
Adelzhausen;86559;08258
Adenau;53518;02691
Adenbach;67742;06753
Adenbüttel;38528;05304
Adendorf;21365;04131
Adenstedt;31079;05060
Aderstedt;06408;03471
Aderstedt;38838;039428
Adlersteige;73479;07961
Adligstadt;83364;08666
Adlkofen;84166;08707
Adlkofen;84166;08707
Admannshagen-Bargeshagen;18211;038203
Adorf;08626;037423
Aebtissinwisch;25572;04825
Aerzen;31855;05154
Affalterbach;71563;07144
Affing;86444;08207
Affinghausen;27257;04247
Affler;54689;06524
Aftholderbach;56355;06772
Agathenburg;21684;04141
Agethorst;25560;04892
Aglasterhausen;74858;06262
Aham;84168;08744
Ahaus;48683;02561
Ahausen;27367;04269
Ahlbeck;17375;039775
Ahlden;29693;05164
Ahlefeld;24811;04353
Ahlen;59227;02382
Ahlen;59229;02382
Ahlerstedt;21702;04166
Ahlsdorf;04916;035362
Ahlsdorf;06313;034772
Ahlstädt;98553;036873
Ahlum;38489;039007
Ahnatal;34292;05609
Ahneby;24996;04637
Ahnsbeck;29353;05145
Ahnsen;31708;05722
Aholfing;94345;09429
Aholming;94527;09938
Ahorn;74744;06296
Ahorn;96482;09561
Ahorntal;95491;09202
Ahrain;83739;08025
Ahrbrück;53506;02643
Ahrensbök;23623;04525
Ahrensburg;22926;04102
Ahrensdorf;14974;03378
Ahrensdorf;15864;033677
Ahrensfelde;16356;030
Ahrenshagen;18320;038225
Ahrenshöft;25853;04846
Ahrenstedt;24787;
Ahrenviöl;25885;04847
Ahrenviölfeld;25885;04626
Aicha;94529;08544
Aichach;86551;08251
Aichat;83565;08092
Aichberg;83329;08681
Aichelberg;73101;07164
Aichen;86479;08284
Aichhalden;78733;07422
Aichstetten;88317;07565
Aichtal;72631;07127
Aichwald;73773;0711
Aichwies;83329;08681
Aidenbach;94501;08543
Aidhausen;97491;09526
Aidlingen;71134;07034
Aiglsbach;84089;08753
Ailertchen;56459;02663
Aindling;86447;08237
Ainring;83404;08654
Aislingen;89344;09075
Aiterhofen;94330;09421
Aitern;79677;07673
Aiteröd;84137;08741
Aitrach;88319;07565
Aitrang;87648;08343
Aitzendorf;09326;037382
Aken;06385;034909
Alach;99100;0361
Alach;99100;0361
Albaching;83544;08076
Albbruck;79774;07753
Albernhof;93449;09978
Albersdorf;07646;036692
Albersdorf;25767;04835
Albershausen;73095;07161
Albersroda;06268;034632
Alberstedt;06279;034774
Albersweiler;76857;06345
Alberthofen;57614;02684
Albertinenhof;16818;033925
Albertinenhof;19260;038848
Albertshofen;97320;09321
Albessen;66871;06384
Albig;55234;06731
Albisheim;67308;06355
Albrechts;98529;03681
Albrechts;98529;03681
Albrechtshof;17291;039862
Albsfelde;23909;04541
Albstadt;72458;07432
Albstadt;72459;07432
Albstadt;72461;07432
Aldenhoven;52457;02464
Aldersbach;94501;08543
Aldingen;78554;07424
Alerheim;86733;09085
Alesheim;91793;09146
Aletshausen;86480;08282
Alf;56859;06542
Alfdorf;73553;07172
Alfeld;31061;05181
Alfeld;91236;09157
Alfhausen;49594;05464
Alflen;56828;02678
Alfstedt;27432;04765
Alfter;53347;0228
Algenstedt;39638;03907
Algermissen;31191;05126
Algertshausen;86926;
Algesbüttel;38551;05373
Algishofen;73453;07975
Alheim;36211;05664
Alikendorf;39398;039408
Alken;56332;02605
